fid|~|text|~|temp|~|temp_min|~|temp_max|~|feels_like|~|pressure|~|humidity|~|dew_point|~|wind_speed|~|wind_deg|~|wind_gust|~|rain_3h|~|cloud_count|~|visibility|~|dt|~|dt_iso|~|timezone
1012827|~|"looking good"|~|34|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
1012823|~|"a bit rainy"|~|23|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
1012123|~|"not bad"|~|20|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
1000123|~|"stormy"|~|15|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
256233|~|"snowy"|~|-2|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
124567|~|"way too cold"|~|-20|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
11359|~|"death valley type heat"|~|45|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
1139|~|"absolute 0"|~|-273|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
11|~|"the interior of the sun"|~|15000|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
10|~|"???????"|~|-1000000|~|22|~|44|~|35|~|29|~|2|~|0.9|~|2.9|~|2|~|9.8|~|1|~|75|~|1|~|1585612800|~|"2020-03-31 00:00:00 +0000 UTC"|~|3600
